"Archive Date","Associated Streets","Collection Date","Data Type","Intersection Number","Neighborhood Code","Original File Name","Site Location","Street Name","Study Period","Study Type"
"01/15/2014 07:00:00 PM","DIMOCK ST, WASHINGTON ST","01-22-2008","","4089","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4089_DIMOCK ST, WASHINGTON ST_RX_12HR_TMC_01222008.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","NORTH ST, RAMP CNSA, SURFACE RD","11-06-2008","","4092","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4092_NORTH ST, RAMP CNSA, SURFACE RD_BP_11HR_TMC_11062008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","NORTH ST, RAMP CNSA, SURFACE RD","08-06-2013","","4092","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4092_NORTH ST, RAMP CNSA, SURFACE RD_BP_12HR_TMC_08062013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","SUDBURY ST, SURFACE RD","11-06-2008","","4094","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4094_SUDBURY ST, SURFACE RD_BP_11HR_TMC_11062008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","SUDBURY ST, SURFACE RD","08-06-2013","","4094","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4094_SUDBURY ST, SURFACE RD_BP_12HR_TMC_08062013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","COOPER ST, CROSS ST, NORTH WASHINGTON ST, RAMP ST-SA","11-06-2008","","4095","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4095_COOPER ST, CROSS ST, NORTH WASHINGTON ST, RAMP ST-SA_BP_11HR_TMC_11062008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","COOPER ST, CROSS ST, NORTH WASHINGTON ST, RAMP ST-SA","08-01-2013","","4095","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4095_COOPER ST, CROSS ST, NORTH WASHINGTON ST, RAMP ST-SA_BP_12HR_TMC_08012013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CROSS ST, HANOVER ST","11-06-2008","","4096","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4096_CROSS ST, HANOVER ST_BP_11HR_TMC_11062008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CROSS ST, HANOVER ST","08-01-2013","","4096","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4096_CROSS ST, HANOVER ST_BP_12HR_TMC_08012013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","HANOVER ST, SURFACE RD","11-06-2008","","4101","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4101_HANOVER ST, SURFACE RD_BP_11HR_TMC_11062008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","HANOVER ST, SURFACE RD","08-06-2013","","4101","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4101_HANOVER ST, SURFACE RD_BP_12HR_TMC_08062013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","ATLANTIC AVE, PEARL ST","10-30-2008","","4102","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4102_ATLANTIC AVE, PEARL ST_BP_11HR_TMC_10302008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","ATLANTIC AVE, PEARL ST","08-01-2013","","4102","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4102_ATLANTIC AVE, PEARL ST_BP_12HR_TMC_08012013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","BROAD ST, SURFACE RD","10-30-2008","","4104","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4104_BROAD ST, SURFACE RD_BP_11HR_TMC_10302008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","BROAD ST, SURFACE RD","08-06-2013","","4104","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4104_BROAD ST, SURFACE RD_BP_12HR_TMC_08062013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CENTRE ST, GUERNSEY ST, MONTCLAIR AVE","10-14-2009","","1703","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1703_CENTRE ST, GUERNSEY ST, MONTCLAIR AVE_WR_11HR_TMC_10142009.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","ALBANY ST, MALDEN ST","04-13-2010","","1904","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1904_ALBANY ST, MALDEN ST_BP_11HR_TMC_04132010.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","NORTH ST, UNION ST","03-25-2009","","1909","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1909_NORTH ST, UNION ST_BP_11HR_TMC_03252009.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
