#,Zone Name,January ,February ,March ,April ,May ,June ,July,August,September,October,November,December,GT by Zone
236,West Lincoln between Essex and Beach,0,0,0,0,0,84,45,,,,,,129
490,South Charles between Revere and Pinckney,0,0,0,0,0,68,61,,,,,,129
97,North Dorchester between Congress and Summer,0,0,0,0,0,97,31,,,,,,128
308,South Park Plaza between Charles S and Haddas,0,0,0,0,0,81,47,,,,,,128
216,South Beach between Harrison and Washington,0,0,0,0,0,92,35,,,,,,127
483,North Charles between Beacon and Chestnut,0,0,0,0,0,46,80,,,,,,126
605,East Opera between Huntington and St Stephe,0,0,0,112,6,7,1,,,,,,126
433,South Blagden between Huntington and Exeter,0,0,4,9,39,52,19,,,,,,123
174,South Milk between Kilby and Pearl,0,0,0,0,0,96,26,,,,,,122
207,South Franklin between Oliver and Batterymarc,0,0,0,0,0,84,38,,,,,,122
7,East Atlantic between East India and Milk,0,0,0,0,0,81,39,,,,,,120
153,North Milk between Surface and India,0,0,0,0,0,72,48,,,,,,120
268,East Washington between Nassau and Kneeland,0,0,0,0,0,92,28,,,,,,120
939,North Broad between Milk and Central,0,0,0,0,0,81,39,,,,,,120
149,West India between Custom House and Surface,0,0,0,0,0,65,53,,,,,,118
501,East Beacon between Spruce and Walnut,0,0,0,0,0,47,71,,,,,,118
10,North Newbury between Dartmouth and Exeter,0,0,0,46,31,27,13,,,,,,117
481,West Beacon between Brimmer and River,0,0,0,0,0,50,66,,,,,,116
493,South Charles between Pinckney and Mt Vernon,0,0,0,0,0,47,68,,,,,,115
156,North India between State and Central,0,0,0,0,0,84,30,,,,,,114
249,East South between Beach and Kneeland,0,0,0,0,0,75,38,,,,,,113
302,West Shawmut between Marginal and Oak St West,0,0,0,0,0,88,25,,,,,,113
610,East Forsyth between Huntington and Hemenway,0,0,0,113,0,0,0,,,,,,113
514,West Fairfield between Comm and Newbury,0,0,1,23,33,40,15,,,,,,112
110,West First Avenue between Ninth and Seventh,0,0,0,0,0,32,78,,,,,,110
665,North Brookline between Francis and Jimmy Fun,0,0,0,0,31,49,30,,,,,,110
784,North Beacon between Raleigh and Deerfield,0,0,0,6,26,45,33,,,,,,110
169,West Batterymarch between Water and Milk,0,0,0,0,0,74,35,,,,,,109
262,North Stuart between Wash and Tremont,0,0,0,0,0,60,49,,,,,,109
168,East Batterymarch between Milk and Water,0,0,0,0,0,75,33,,,,,,108
788,North Commonwealth between Raleigh and Deerfi,0,0,0,3,32,50,23,,,,,,108
215,East Tyler between Kneeland and Beach,0,0,0,0,0,69,38,,,,,,107
233,West Av De Lafayette between Chauncy and Harr,0,0,0,0,0,81,26,,,,,,107
1,West Atlantic between Commercial and Comm Wf,7,0,0,0,0,19,80,,,,,,106
21,South Boylston between Clarendon and Berkeley,0,0,0,19,27,43,16,,,,,,105
170,South Milk between Batterymarch and Kilby,0,0,0,0,0,70,35,,,,,,105
246,West South between Tufts and Essex,0,0,0,0,0,53,50,,,,,,103
304,North Stuart between Tremont and Charles So,0,0,0,0,0,74,29,,,,,,103
430,West Exeter between Huntington and Blagden,0,0,1,19,24,41,18,,,,,,103
551,South Beacon between Mass and Charlesgate E,0,0,0,16,30,41,16,,,,,,103
682,North Brookline between Kilmarnock and Yawkey,0,0,0,30,23,34,16,,,,,,103
107,East First Avenue between Terry Ring and Eigh,0,0,0,0,0,20,82,,,,,,102
933,East Beverly between Causeway and Valenti,0,0,0,0,0,24,78,,,,,,102
165,East Water between Batterymarch and Broad,0,0,0,0,0,56,45,,,,,,101
264,South Stuart between Tremont and Wash,0,0,0,0,0,63,38,,,,,,101
64,East Cambridge between Lynde and Blossom,0,0,0,0,0,50,49,,,,,,99
934,East Canal between Valenti and Causeway,0,0,0,0,0,21,78,,,,,,99
79,West Cambridge between Lyndell and Grove,0,0,0,0,0,46,50,,,,,,96
148,West India between Milk and Custom House,0,0,0,0,0,59,36,,,,,,95
